,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Access Days Time,Cards Accepted,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,EV Connector Types,Country,Access Code,Access Detail Code,Federal Agency Code,Facility Type,EV Pricing,EV On-Site Renewable Source,Restricted Access,NPS Unit Name,Maximum Vehicle Class,EV Workplace Charging
4608,First Martin,115 Depot St,,Ann Arbor,MI,48104,,,Employee use only,,,1.0,,,Non-Networked,,200-9,42.288951,-83.746518,2023-07-11,79282,2024-01-31 22:07:01 UTC,P,,,2016-08-01,J1772,US,private,,,OFFICE_BLDG,,,,,LD,True
32706,EPA Ann Arbor - Station 1,2565 Plymouth Rd,,Ann Arbor,MI,48105.0,,,,A D M V,,6.0,,,Non-Networked,,GPS,42.303847,-83.710984,2024-01-10,184845,2024-01-31 22:07:01 UTC,FG,20.0,U.S. Environmental Protection Agency,2021-01-15,J1772,US,private,,EPA,FED_GOV,,,,,,True
32707,EPA Ann Arbor - Station 2,2565 Plymouth Rd,,Ann Arbor,MI,48105.0,,,Drivers must bring their own J1772 cordset for Level 1 charging,,1.0,,,,Non-Networked,,GPS,42.303847,-83.710984,2024-01-10,184846,2024-01-31 22:07:01 UTC,FG,20.0,U.S. Environmental Protection Agency,2021-01-15,NEMA515,US,private,GOVERNMENT,EPA,FED_GOV,Free,,,,,False
38664,BEEKMAN STATION 1,1160 Broadway St,,Ann Arbor,MI,48105,,888-758-4389,24 hours daily,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.289949,-83.735857,2024-02-13,198073,2024-02-13 01:11:14 UTC,,,,2021-10-22,J1772,US,public,,,,,,,,,False
46253,A2DDA STATION 2,324 Maynard St,,Ann Arbor,MI,48104,,888-758-4389,24 hours daily,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.278709,-83.742514,2024-02-13,223001,2024-02-13 01:27:22 UTC,,,,2022-07-09,J1772,US,public,,,,,,,,,False
46254,A2DDA STATION 3,324 Maynard St,,Ann Arbor,MI,48104,,888-758-4389,24 hours daily,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.278692,-83.742414,2024-02-13,223002,2024-02-13 01:27:22 UTC,,,,2022-07-09,J1772,US,public,,,,,,,,,False
46255,A2DDA STATION 1,324 Maynard St,,Ann Arbor,MI,48104,,888-758-4389,24 hours daily,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.278735,-83.742541,2024-02-13,223003,2024-02-13 01:27:22 UTC,,,,2022-07-09,J1772,US,public,,,,,,,,,False
46256,A2DDA STATION 4,324 Maynard St,,Ann Arbor,MI,48104,,888-758-4389,24 hours daily,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.278705,-83.742391,2024-02-13,223004,2024-02-13 01:27:22 UTC,,,,2022-07-09,J1772,US,public,,,,,,,,,False
46257,A2DDA ST 4123,320 Thompson St,,Ann Arbor,MI,48104,,888-758-4389,24 hours daily,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.278722,-83.742874,2024-02-13,223005,2024-02-13 01:27:23 UTC,,,,2022-07-09,J1772,US,public,,,,,,,,,False
46258,A2DDA STATION 4121,320 Thompson St,,Ann Arbor,MI,48104,,888-758-4389,24 hours daily,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.278674,-83.742922,2024-02-13,223006,2024-02-13 01:27:24 UTC,,,,2022-07-09,J1772,US,public,,,,,,,,,False
